,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,doi,title,abstract,paperurl,slug,pdfurl,type,journal,month,year,volume,issue,author,citation
10,10,10,10,10.1093/ntr/ntx143,"Google searches for ""cheap cigarettes"" spike at tax increases: Evidence from an algorithm to detect spikes in time series data","Introduction
Online cigarette dealers have lower prices than brick-and-mortar retailers and advertise tax-free status.1–8 Previous studies show smokers search out these online alternatives at the time of a cigarette tax increase.9,10 However, these studies rely upon researchers’ decision to consider a specific date and preclude the possibility that researchers focus on the wrong date. The purpose of this study is to introduce an unbiased methodology to the field of observing search patterns and to use this methodology to determine whether smokers search Google for “cheap cigarettes” at cigarette tax increases and, if so, whether the increased level of searches persists.

Methods
Publicly available data from Google Trends is used to observe standardized search volumes for the term, “cheap cigarettes”. Seasonal Hybrid Extreme Studentized Deviate and E-Divisive with Means tests were performed to observe spikes and mean level shifts in search volume.

Results
Of the twelve cigarette tax increases studied, ten showed spikes in searches for “cheap cigarettes” within two weeks of the tax increase. However, the mean level shifts did not occur for any cigarette tax increase.

Conclusion
Searches for “cheap cigarettes” spike around the time of a cigarette tax increase, but the mean level of searches does not shift in response to a tax increase. The SHESD and EDM tests are unbiased methodologies that can be used to identify spikes and mean level shifts in time series data without an a priori date to be studied. SHESD and EDM affirm spikes in interest are related to tax increases.",https://academic.oup.com/ntr/article-abstract/20/6/779/3884451,cheap-cigarettes,NTR-2017,Original Research,,,,,,,
11,11,11,11,10.1080/09687637.2016.1208731,Truth and D.A.R.E.: Is D.A.R.E.’s new Keepin’ it REAL curriculum suitable for American nationwide implementation?,"The study investigates the effectiveness and appropriateness of the Drug Abuse Resistance Education (D.A.R.E.) Keepin’ it REAL (KiR) curriculum – America’s most prevalent in-school prevention programme – using a modified systematic review procedure as adapted from the Cochrane Handbook. No published studies research the D.A.R.E. version of KiR, and so we consider the Keepin’ it REAL intervention as a whole. After reviewing the abstracts of 677 studies matching relevant keyword searches, 11 studies matched inclusion criteria (e.g. testing effectiveness on substance use). The systematic review yields mixed results for the effectiveness of the Keepin’ it REAL intervention. Concerns remain regarding the appropriateness of the KiR D.A.R.E. programme: (1) KiR has only been tested on a narrow audience and may not be appropriate for D.A.R.E.’s larger audience, (2) KiR may not be effective in reducing substance use among elementary school students and (3) the specific versions of KiR implemented by D.A.R.E. (KiR D.A.R.E. and KiR D.A.R.E. Elementary) have yet to be tested for efficacy. The authors recommend independent, randomised trials for the KiR D.A.R.E. curriculum and the development of a standardised measure and evaluation system for in-school substance use prevention programmes.",https://www.tandfonline.com/doi/full/10.1080/09687637.2016.1208731,dare,DEPP-2016,Original Research,,,,,,,
12,12,12,12,10.12806/V16/I1/T2,Assessing the possibility of leadership education as psychosocial-based problem behavior prevention for adolescents: A review of the literature.,"The purpose of this review is to examine theoretical connections between adolescent
leadership education and problem behavior prevention. Both the problem behavior prevention
literature and the leadership education literature were reviewed for studies pertaining to the
development of psychosocial traits. In the leadership education literature this research focused on
the development of leadership potential, as this was considered most closely linked with
leadership education for adolescents as opposed to leadership education focused on honing skills
in established leaders. Because the purpose of this review was to determine if a theoretical
connection exists between two previously unconnected fields of literature, a thorough literature
review was conducted as opposed to a systematic review because it was deemed too
cumbersome. Instead, salient studies from both fields were examined for their applicability to the
other field and the analysis as a whole. The research found significant overlap in psychosocial
protective factors for problem behaviors and the psychosocial traits developed through leadership
education. This paper includes a review and synthesis of the two literatures, as well as
direct comparisons between them. Given that a theoretical connection between leadership
education and problem behavior prevention seems to exist, the author recommends empirical
research to determine if leadership education is an effective and efficient vehicle for problem
behavior prevention. The paper will conclude with recommendations for leadership education
practitioners, as well as other key stakeholders.",https://journalofleadershiped.org/wp-content/uploads/2019/02/16_1_caputi.pdf,leadership-drugs,JOLE-2017,Original Research,,,,,,,
13,13,13,13,10.1016/j.drugpo.2016.06.005,The case for uniform controls in drug policy studies,"One of the greatest threats to the validity and reliability of drug policy research studies is the selective inclusion of controls. Policies are not formulated in a vacuum, and the inclusion of a rich, comprehensive array of demographic controls reduces the possibility that a correlation in the data is better explained by endogenous factors than the studied independent variable. Whether intentional or not, exclusion (or inclusion) of controls can make spurious relationships appear significant (or vice versa). This issue is important in studies of drug policy as demographics contribute significantly to usage rates and attitudes (Kandel, Chen, Warner, Kessler, & Grant, 1997).",https://www.sciencedirect.com/science/article/abs/pii/S095539591630175X,uniform-controls,IJDP-2016,Original Research,,,,,,,
14,14,14,14,,Selling prevention: Using a business framework to analyze the state of prevention and overcome obstacles to expanding substance abuse prevention.,"Substance abuse prevention programs can be a tough sell to schools, but by employing
common business frameworks, the field can more easily understand the state of the field
and identify possible methods of expanding school-based substance abuse
prevention. An analysis of the state of the substance abuse prevention field finds that the
field often fails to consider the consumer when making strategic business decisions.
Consumer-driven approaches such as the development and adoption of a standardized
measure for effectiveness of in-school substance abuse prevention programs may expand
the use and impact of substance abuse prevention. The field should extensively examine
the current state of substance abuse prevention, through business tools such as the SWOT
and Five C’s Analysis, before ultimately developing a strategy. The prevention field can
learn from business practices.",https://www.dfaf.org/wp-content/uploads/2018/11/Vol-9-Issue-1.pdf,selling-prevention,JGDPP-2015,Original Research,The Journal of Global Drug Policy and Practice,4.0,2015.0,9.0,1.0,Theodore L. Caputi,"Caputi, T. (2015). Selling prevention: Using a business framework to analyze the state of prevention and overcome obstacles to expanding substance abuse prevention. The Journal of Global Drug Policy and Practice."
15,15,15,15,10.2105/AJPH.2019.305477,"The medical marijuana industry and the use of ""research as marketing""","Marijuana and marijuana-based medical products are now legally sold in 33 US states and most European Union countries. Widespread medical marijuana legalization has ushered in an unprecedented level of investment in marijuana, replacing small, independently owned storefronts with polished national and international corporations.1 As the industry has become more sophisticated, so has its marketing; a recent commentary1 I coauthored in the Journal of the American Medical Association surveys Big Marijuana’s marketing strategy and summarizes how Big Marijuana companies convey poorly substantiated health claims to potential consumers.

This editorial is intended to highlight one particularly pernicious marketing technique commonly employed by Big Marijuana companies—a technique I call “research as marketing.” Essentially, marketers realize that social media sites and the 24-hour news cycle effectively deliver health information to consumers and that consumers are less-discerning auditors of scientific rigor than are federal regulators. Therefore, rather than invest in the multitude of expensive, large-scale clinical trials required to make regulator-endorsed health claims, marijuana companies sponsor and publicize the results of less-robust studies.",https://ajph.aphapublications.org/doi/10.2105/AJPH.2019.305477,research-as-marketing,AJPH-2020,Uninvited Commentary,,,,,,,
16,16,16,16,10.1111/add.14748,"Medical marijuana laws, substance use treatment admissions, and the ecological fallacy","Meinhofer et al. 1 analyzes administrative data from state medical marijuana laws and substance use treatment admissions in an ecological study design to show that medical marijuana laws are associated with state-level increases in marijuana, alcohol and cocaine treatment admissions among pregnant women. While these findings are provocative, the utility of ecological analyses in assessing the effects of medical marijuana use is severely limited and this study's results could reflect bias, rather than an individual-level effect.",https://onlinelibrary.wiley.com/doi/full/10.1111/add.14748,ecological-admissions,ADD-2020,Uninvited Commentary,,,,,,,
17,17,17,17,10.1001/jama.2019.4432,The need for federal regulation of marijuana marketing,"A national for-profit marijuana industry is expanding substantially in the United States. Thirty-three states have legalized medical marijuana, 10 of which (where 1 in 4 individuals reside) have also legalized recreational marijuana. Sales of marijuana are projected to increase from $8.5 billion to $75 billion by 2030, rivaling current tobacco sales ($125 billion).1 The initial marijuana marketplace was limited to a few states, but emerging brands have developed sophisticated national marketing campaigns that could potentially have an effect across state lines. This marketplace expansion, along with questionable marketing practices, introduces a need for federal action.",https://jamanetwork.com/journals/jama/article-abstract/2734209,marijuana-regulation,JAMA-2019,Uninvited Commentary,,,,,,,
18,18,18,18,10.1377/hlthaff.2019.00198,Medical cannabis use,"Kevin Boehnke and coauthors (Feb2019) describe the indications of li-censed medical marijuana users inseveral states and compare those in-dications to evidence of efficacy. Ac-cording to estimates from the Nation-al Survey on Drug Use and Health(NSDUH)  for  2013–15,  in  medicalmarijuana states, approximately 2.5 per-cent of Americans older than age twelveused  medical  marijuana  in  the  pastyear.1However, the authors’results im-ply that medical marijuana use—at least,licensed  use—is  much  less  commonthan the NSDUH reports. Within eigh-teen states studied for 2016, they foundjust 641,176 licensed medical marijuanausers (0.4 percent prevalence).",https://www.healthaffairs.org/doi/10.1377/hlthaff.2019.00198,medical-licensees,HA-2019,Uninvited Commentary,,,,,,,
19,19,19,19,10.1111/add.14580,"Medical marijuana, not miracle marijuana: Some well-publicized studies about medical marijuana don't pass a reality check","For the past few years, one of the most popular topics in major journals and media outlets has been how medical marijuana use improves health outcomes 1. Studies have found that medical marijuana laws (MMLs) are responsible for a 25% decrease in opioid overdose rates 2, a 2.1% reduction in the probability of obesity 3, a 10–20% reduction in Medicaid and Medicare prescriptions 4, 5 and a 15% reduction in alcohol sales 6. In major news outlets, the study authors and reporters conclude that these findings are evidence of the healthful effects of medical marijuana use 7-9.",https://onlinelibrary.wiley.com/doi/full/10.1111/add.14580,reality-check,ADD-2019,Uninvited Commentary,,,,,,,
20,20,20,20,10.2105/AJPH.2017.304253,Population-level analyses cannot tell us anything about individual-level marijuana-opioid substitution patterns,"Livingston et al.1 studied the state-level correlation between opioid overdose deaths and recreational marijuana legislation. In the article’s introduction, the authors claim that the study will contribute to the literature on “whether cannabis is substituted for opioids in pain management,” and the reader is given the premise that “with this substitution, an immediate reduction in opioid-related poisonings would be expected.” Therefore, those who read the study’s findings—that recreational marijuana legislation was followed by 0.7 fewer opioid overdose deaths statewide per month—are led to believe that the study constitutes evidence that pain-afflicted individuals in Colorado are substituting marijuana for opioids.",https://ajph.aphapublications.org/doi/10.2105/AJPH.2017.304253,marijuana-opioid-ecological,AJPH_letter-2018,Uninvited Commentary,,,,,,,
21,21,21,21,10.1080/09687637.2017.1288681,Response to Comment by Hecht & Miller-Day on “Truth and D.A.R.E.: Is D.A.R.E.’s new Keepin’ it REAL curriculum suitable for American nationwide implementation?”,"We would first like to thank the Editors-in-Chief ofDrugs:Education, Prevention, and Policyfor the opportunityto respond to the Comment written by Drs. Hecht andMiller-Day.We contend our paper does not conclude that Keepin’ itREAL is ineffective. The purpose of our paper is to answerthe question ‘‘Is D.A.R.E.’s new Keepin’ it REAL curriculumsuitable for American nationwide implementation,’’ and not‘‘Has Keepin’ it REAL been effective at curbing substanceuse in a randomized controlled trial(s).’’ As Hecht, Miller-Day, and their collaborators have shown in several studies(many of which are cited in our paper), the answer to the latterquestion is yes. Our paper, on the other hand, answers theformer question, with what we suggest is a healthy dose ofcaution, but not outright criticism.",https://www.tandfonline.com/doi/abs/10.1080/09687637.2017.1288681,dare-response,DEPP-2017,Uninvited Commentary,,,,,,,
22,22,22,22,10.1111/dar.12494,Whether medical marijuana is ever substituted for other substances is not the full story,"Lucaset al. [1] recently stated that 87% of a sample(n= 473) of medical cannabis patients in Canadareported substituting marijuana for either alcohol, illicitsubstances or prescription drugs. The 87%figure wasprominently displayed in both the abstract and thefirstsentence of the results section, making it appear to bethe main result of the study. Indeed, the headline‘87%’finding gained momentum in popular mediaand news sources, as journalists atThe Atlantic[2]andThe Washington Post[3] used thefinding as evi-dence that barriers to access medical marijuana arefuelling the United States’problems with other drugs.This assertion appears, however, to be an extrapolationfrom an inadequately worded question.",https://onlinelibrary.wiley.com/doi/abs/10.1111/dar.12494,ever-substitution,DAR-2017,Uninvited Commentary,,,,,,,
23,23,23,23,10.1136/tobaccocontrol-2016-053264,Heat-not-burn tobacco products are about to reach their boiling point,"Heat-not-burn tobacco products (HNB), including Reynolds American's (RA) ‘Eclipse’ and ‘Revo’ and Philip Morris International's (PMI) ‘Heatbar’, are devices that heat tobacco to ∼500°F, producing an inhalable aerosol. Since 1988, tobacco companies have perennially introduced HNB and marketed them as healthier than conventional cigarettes. These claims, refuted by researchers,1 failed to lure consumers. Each reincarnation of HNB was commercially unsuccessful, and most HNB products were discontinued shortly after their introduction. Until recently, HNB products were all but unavailable to consumers—but now may be the perfect time for a thriving HNB market.",https://tobaccocontrol.bmj.com/content/26/5/609,hnb-boiling-point,TC-2016,Uninvited Commentary,,,,,,,
24,24,24,24,10.1377/hlthaff.2016.1108,Medicare recipients’ use of medical marijuana,"Ashley Bradford and David Bradford report that Medicare prescription drug spending declined substantially across a range of medications in states that legalized medical marijuana (Jul 2016). The authors conclude that “patients respond to medical marijuana legislation as if there are clinical benefits to the drug.”

This conclusion rests on the ecological fallacy—that is, assuming homogeneity in correlations across the individual and population levels of analysis. 1 The only compelling way to assess the impact of medical marijuana on individual Medicare recipients is to analyze individual-level data.",https://www.healthaffairs.org/doi/10.1377/hlthaff.2016.1108,medicare-marijuana,HA-2016,Uninvited Commentary,,,,,,,
25,25,25,25,10.1080/02791072.2016.1197989,Where is the ‘reality’ in ‘reality-based’ drug prevention?,"Dr. Marsha Rosenbaum’s recent opinion piece (2016)calling for“reality-based”drug prevention and accom-panying prevention program“Safety First: A RealityBased Approach to Teens and Drugs”(Rosenbaum2014) prompts the question: what is reality?If social science is to be believed, researchers mustremove their subjective perception of“reality”and turntheir attention to objective data. Rosenbaum claims thatharm reduction programs are effective because they arebased on“reality,”and yet, this“reality”is not based uponempirical data. The history of drug policy is riddled withexamples of policy and practice based on anecdotes orfaulty evidence, such as when states used draconian man-datory minimum sentencing laws intended to deter drugcrimes or when the U.S. turned a blind eye to over-pre-scribing pain medication. To learn from these mistakes,we must take an evidence-based approach to drug policy.",https://www.tandfonline.com/doi/abs/10.1080/02791072.2016.1197989,reality-prevention,JPD-2016,Uninvited Commentary,,,,,,,
26,26,26,26,10.1111/add.15339,"Drugs, class, and race: Recent developments in the Opioid Epidemic call for urgent next steps","Historically, the US political and cultural responses to surges in drug use have been inextricably tied to affected populations. Cocaine use became popular at the turn of the 20th century for both coastal elite white Americans and poor southern black Americans. While use among elite whites was largely ignored, individuals in the medical and political community stoked fears that cocaine use was pervasive among African Americans and was a central cause of crime against whites [1, 2]. In the 1950s, amphetamines were developed and prescribed as diet and energy pills for suburban, white housewives, but urban, minority users of the same drugs were berated as ‘speed freaks’ [3]. In the 1980s, Americans blamed a surge in crack use for urban violence and demanded harsh criminal penalties for users [4], and in the 1990s methamphetamine use among poor Appalachian whites generated more abrasive stereotypes than public health action.",https://onlinelibrary.wiley.com/doi/10.1111/add.15339,race-opioids,ADD-2020B,Invited Commentary,,,,,,,
27,27,27,27,10.1111/1475-6773.13625,The Impact of Medicare Shared Savings Plan ACOs on Behavioral Health Service Utilization and Disparities in Care.,"Objective
To assess the impact of the Medicare Shared Savings Program (MSSP) ACOs on mental health and substance use services utilization and racial/ethnic disparities in care for these conditions.

Data sources
Five percent random sample of Medicare claims from 2009 to 2016.

Study design
We compared Medicare beneficiaries in MSSP ACOs to non-MSSP beneficiaries, stratifying analyses by Medicare eligibility (disability vs age 65+). We estimated difference-in-difference models of MSSP ACOs on mental health and substance use visits (outpatient and inpatient), medication fills, and adequate care for depression adjusting for age, sex, race/ethnicity, region, and chronic medical and behavioral health conditions. To examine the differential impact of MSSP on our outcomes by race/ethnicity, we used a difference-in-difference-in-differences (DDD) design.

Data collection/extraction methods
Not applicable.

Principal findings
MSSP ACOs were associated with small reductions in outpatient mental health (Coeff: −0.012, P < .001) and substance use (Coeff: −0.001, P < .01) visits in the disability population, and in adequate care for depression for both the disability- and age-eligible populations (Coeff: −0.028, P < .001; Coeff: −0.012, P < .001, respectively). MSSP ACO’s were also associated with increases in psychotropic medications (Coeff: 0.007 and Coeff: 0.0213, for disability- and age-eligible populations, respectively, both P < .001) and reductions in inpatient mental health stays (Coeff:-0.004, P < .001, and Coeff:-0.0002, P < .01 for disability- and age-eligible populations, respectively) and substance use-related stays for disability-eligible populations (Coeff:-0.0005, P<.05). The MSSP effect on disparities varied depending on type of service.

Conclusions
We found small reductions in outpatient and inpatient stays and in rates of adequate care for depression associated with MSSP ACOs. As MSSP ACOs are placed at more financial risk for population-based treatment, it will be important to include more robust behavioral health quality measures in their contracts and to monitor disparities in care.",https://onlinelibrary.wiley.com/doi/10.1111/1475-6773.13625,mssp-acos,HSR-2021,Team Science,,,,,,,
